 2017-04-17 15:13:03,842 [P16084/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.12 application starting on DESKTOP-7KMMA7G
 2017-04-17 15:13:03,874 [P16084/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-04-17 15:13:03,896 [P16084/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 21ms)
 2017-04-17 15:13:04,017 [P16084/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-04-17 15:13:04,018 [P16084/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-04-17 15:13:04,026 [P16084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-04-17 15:13:04,104 [P16084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 77ms)
 2017-04-17 15:13:04,172 [P16084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-04-17 15:13:04,174 [P16084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
 2017-04-17 15:13:04,174 [P16084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-04-17 15:13:04,177 [P16084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 2ms)
 2017-04-17 15:13:04,194 [P16084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-04-17 15:13:04,204 [P16084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 9ms)
 2017-04-17 15:13:04,205 [P16084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-04-17 15:13:04,216 [P16084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 10ms)
 2017-04-17 15:13:04,302 [P16084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-04-17 15:13:04,303 [P16084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 1ms)
 2017-04-17 15:13:04,303 [P16084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-04-17 15:13:04,304 [P16084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2017-04-17 15:13:05,897 [P16084/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-04-17 15:13:06,237 [P16084/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-04-17 15:13:06,298 [P16084/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-04-17 15:13:06,448 [P16084/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-04-17 15:13:06,493 [P16084/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 2778ms)
 2017-04-17 15:13:07,405 [P16084/D2/T11] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:52266/umbraco (UmbracoModule request)
 2017-04-17 15:13:08,040 [P16084/D2/T11] INFO  umbraco.content - Load Xml from file...
 2017-04-17 15:13:08,043 [P16084/D2/T11] INFO  umbraco.content - Loaded Xml from file.
 2017-04-17 15:13:09,257 [P16084/D2/T11] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-04-17 15:13:09,260 [P16084/D2/T11] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 2ms)
 2017-04-17 15:13:09,274 [P16084/D2/T7] INFO  Umbraco.Core.Manifest.ManifestWatcher - manifest has changed, app pool is restarting (E:\WebApplication4\WebApplication4\App_Plugins\ModelsBuilder\package.manifest)
 2017-04-17 15:13:09,614 [P16084/D2/T11] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-04-17 15:13:09,617 [P16084/D2/T11] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 2ms)
 2017-04-17 15:13:10,055 [P16084/D2/T15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Terminating
 2017-04-17 15:13:10,055 [P16084/D2/T15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Waiting for tasks to complete
 2017-04-17 15:13:10,056 [P16084/D2/T15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Terminating
 2017-04-17 15:13:10,056 [P16084/D2/T15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Waiting for tasks to complete
 2017-04-17 15:13:10,056 [P16084/D2/T15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Terminating
 2017-04-17 15:13:10,056 [P16084/D2/T15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Waiting for tasks to complete
 2017-04-17 15:13:10,057 [P16084/D2/T10] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Tasks completed, terminated
 2017-04-17 15:13:10,057 [P16084/D2/T10] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Tasks completed, terminated
 2017-04-17 15:13:10,057 [P16084/D2/T10] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Tasks completed, terminated
 2017-04-17 15:13:10,060 [P16084/D2/T15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Terminating
 2017-04-17 15:13:10,060 [P16084/D2/T15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Waiting for tasks to complete
 2017-04-17 15:13:10,060 [P16084/D2/T15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Terminating
 2017-04-17 15:13:10,060 [P16084/D2/T15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Waiting for tasks to complete
 2017-04-17 15:13:10,061 [P16084/D2/T12] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Tasks completed, terminated
 2017-04-17 15:13:10,061 [P16084/D2/T14] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Tasks completed, terminated
 2017-04-17 15:13:10,062 [P16084/D2/T15] INFO  Umbraco.Core.MainDom - Stopping...
 2017-04-17 15:13:10,064 [P16084/D2/T15] INFO  Umbraco.Core.MainDom - Released MainDom.
 2017-04-17 15:13:11,926 [P16084/D2/T11] WARN  Umbraco.Web.Mvc.RenderRouteHandler - The current Document Type home matches a locally declared controller of type WebApplication4.Controllers.HomeController. Custom Controllers for Umbraco routing must implement 'Umbraco.Web.Mvc.IRenderController' and inherit from 'System.Web.Mvc.ControllerBase'.
 2017-04-17 15:13:30,448 [P16084/D3/T16] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.12 application starting on DESKTOP-7KMMA7G
 2017-04-17 15:13:30,474 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-04-17 15:13:30,488 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Hash determined (took 13ms)
 2017-04-17 15:13:30,555 [P16084/D3/T16] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-04-17 15:13:30,560 [P16084/D3/T16] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-04-17 15:13:30,567 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-04-17 15:13:30,626 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 58ms)
 2017-04-17 15:13:30,679 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-04-17 15:13:30,681 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
 2017-04-17 15:13:30,681 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-04-17 15:13:30,683 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 2ms)
